Date,Open,High,Low,Close,Volume
2019-01-02,121.35,121.75,120.88,121.33,12776200
2019-01-03,121.78,122.46,121.73,122.43,15440800
2019-01-04,121.32,121.6,120.69,121.44,13334000
2019-01-07,122.16,122.22,121.57,121.86,7473600
2019-01-08,121.15,121.71,121.06,121.53,7643100
2019-01-09,121.45,122.34,121.44,122.31,10555900
2019-01-10,121.98,122.18,121.57,121.59,6672000
2019-01-11,121.74,122.05,121.66,121.8,8622400
2019-01-14,122.15,122.24,121.87,122.09,6477100
2019-01-15,122.28,122.38,121.62,121.88,7512500
2019-01-16,122.04,122.44,122.02,122.27,6878100
2019-01-17,122.03,122.26,121.81,122.11,8558500
2019-01-18,121.23,121.52,121.02,121.02,10896000
2019-01-22,121.18,121.5,120.9,121.45,7896500
2019-01-23,120.96,121.54,120.86,121.28,5224900
2019-01-24,121.16,121.36,120.92,121.09,5662500
2019-01-25,122.02,122.91,122.02,122.86,11103300
2019-01-28,122.75,123.29,122.72,123.29,8522200
2019-01-29,123.71,124.0,123.46,123.98,11610200
2019-01-30,123.91,125.07,123.7,124.69,12104000
2019-01-31,125.18,125.23,124.62,124.75,10209500
2019-02-01,124.89,125.05,124.37,124.5,12485500
2019-02-04,123.99,124.29,123.82,123.96,6878900
2019-02-05,124.29,124.42,124.05,124.28,6291100
2019-02-06,124.16,124.19,123.4,123.44,6595100
2019-02-07,123.8,123.95,123.44,123.74,5935500
2019-02-08,124.05,124.33,123.98,124.21,4235200
2019-02-11,123.19,123.82,123.19,123.6,4821800
2019-02-12,123.96,124.03,123.61,123.86,4271900
2019-02-13,123.84,124.55,123.31,123.37,7640500
2019-02-14,123.84,124.2,123.53,124.06,6276500
2019-02-15,124.59,125.0,124.18,124.8,12190100
2019-02-19,125.98,126.79,125.93,126.7,15614000
2019-02-20,127.0,127.21,126.31,126.48,8889700
2019-02-21,126.15,126.22,125.05,125.05,8634600
2019-02-22,125.53,125.95,125.39,125.5,5439400
2019-02-25,125.78,125.9,125.23,125.37,4882600
2019-02-26,125.33,125.62,125.05,125.58,5153200
2019-02-27,125.17,125.23,124.4,124.69,7935600
2019-02-28,124.71,124.71,123.98,123.99,7811700
2019-03-01,123.48,123.96,121.87,121.88,16411700
2019-03-04,121.56,121.85,121.18,121.56,10272600
2019-03-05,121.38,121.73,121.03,121.72,7120100
2019-03-06,121.43,121.64,121.26,121.61,4820400
2019-03-07,121.27,121.71,121.18,121.51,6088800
2019-03-08,122.7,122.89,122.37,122.84,10427700
2019-03-11,122.52,122.54,121.92,122.24,6708700
2019-03-12,122.54,123.03,122.4,122.98,6289900
